company;date;date_month;date_year;code2;setor;subsetor;name;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d/e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
CCRO3;30/09/2014;9;2014;CCRO;Bens industriais;Transport;COMPANHIA DE CONCESS?ES RODOVI?RIAS;17236908.03;2763892.992;17236908.03;5416012.8;CCRO3;14;1765587;1934237.952;346051;0.25489;3010299.92;6954159;1271293;17236908.03;0.51000;701217.008;0.42;0.05;0.72;1.7;3.08000;9269029.888;1922953.984;7346075.904;0;;;
CCRO3;31/12/2014;12;2014;CCRO;Bens industriais;Transport;COMPANHIA DE CONCESS?ES RODOVI?RIAS;17223176.19;2531045.888;17223176.19;4514031.104;CCRO3;15;1765587;2103870.208;383933;0.10947;3469003.12;7397194;1348841;17223176.19;0.56000;656933.072;0.39;0.05;0.76;1.96;3.01000;10450760.96;1588647.04;8862113.92;0;;;
CMIG4;31/03/2014;3;2014;CMIG;Public utility;Electricity;CEMIG;31727587.33;6792025.088;31727587.33;6739072;CMIG4;12;1258842;4760772.096;1250089;0.50174;13887032.32;15710458;3488597;31727587.33;1.01000;1958959.04;0.25;0.08;2.77;11.03;0.68000;9434649.088;1970989.056;7463660.032;37421;;;
CMIG4;30/06/2014;6;2014;CMIG;Public utility;Electricity;CEMIG;32735248.38;7354716.16;32735248.38;8725364.736;CMIG4;13;1258842;4737758.208;740874;-0.40734;12868243.46;17009226;3612233;32735248.38;0.84000;1517769.976;0.28;0.04;2.87;10.22;0.90000;11553829.38;3226817.024;8327012.352;37335;;;
CMIG4;30/09/2014;9;2014;CMIG;Public utility;Electricity;CEMIG;31934423.04;6066788.864;31934423.04;7806127.104;CMIG4;14;1258842;3831888.896;29056;-0.96078;12903163.9;17295219;2852448;31934423.04;0.78000;584628.992;0.22;0;2.27;10.25;0.91000;11805723.14;2314404.096;9491319.04;34238;;;
CMIG4;31/12/2014;12;2014;CMIG;Public utility;Electricity;CEMIG;35000004.61;6554378.24;35000004.61;10123317.25;CMIG4;15;1258842;6209159.68;1116620;37.42993;11280911.06;19539579;3136639;35000004.61;0.65000;1892969.096;0.28;0.06;2.49;8.96;1.20000;13508738.05;1881136.96;11627601.09;39887;;;
CMIG3;31/03/2014;3;2014;CMIG;Public utility;Electricity;CEMIG;31727587.33;6792025.088;31727587.33;6739072;CMIG3;12;1258842;4760772.096;1250089;0.50174;13887032.32;15710458;3488597;31727587.33;1.01000;1958959.04;0.25;0.08;2.77;11.03;0.68000;9434649.088;1970989.056;7463660.032;37421;;;
CMIG3;30/06/2014;6;2014;CMIG;Public utility;Electricity;CEMIG;32735248.38;7354716.16;32735248.38;8725364.736;CMIG3;13;1258842;4737758.208;740874;-0.40734;12868243.46;17009226;3612233;32735248.38;0.84000;1517769.976;0.28;0.04;2.87;10.22;0.90000;11553829.38;3226817.024;8327012.352;37335;;;
CMIG3;30/09/2014;9;2014;CMIG;Public utility;Electricity;CEMIG;31934423.04;6066788.864;31934423.04;7806127.104;CMIG3;14;1258842;3831888.896;29056;-0.96078;12903163.9;17295219;2852448;31934423.04;0.78000;584628.992;0.22;0;2.27;10.25;0.91000;11805723.14;2314404.096;9491319.04;34238;;;
CMIG3;31/12/2014;12;2014;CMIG;Public utility;Electricity;CEMIG;35000004.61;6554378.24;35000004.61;10123317.25;CMIG3;15;1258842;6209159.68;1116620;37.42993;11280911.06;19539579;3136639;35000004.61;0.65000;1892969.096;0.28;0.06;2.49;8.96;1.20000;13508738.05;1881136.96;11627601.09;39887;;;
